"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",-1.631738,0.719204,-2.2688,0.0243,"**"
"dlnPetrol_L1",0.042724,0.054515,0.7837,0.4341,""
"dlnPetrol_L2",-0.20646,0.066267,-3.1156,0.0021,"***"
"dlnPetrol_L3",-0.007476,0.06966,-0.1073,0.9146,""
"dlnBrent_pos_L0",0.107676,0.054435,1.9781,0.0492,"**"
"dlnBrent_pos_L1",0.171472,0.046176,3.7134,3e-04,"***"
"dlnBrent_pos_L2",-0.042152,0.046925,-0.8983,0.37,""
"dlnBrent_pos_L3",0.108916,0.050377,2.162,0.0317,"**"
"dlnBrent_neg_L0",0.011848,0.03766,0.3146,0.7534,""
"dlnBrent_neg_L1",0.099454,0.040521,2.4544,0.0149,"**"
"dlnBrent_neg_L2",0.046765,0.040156,1.1646,0.2455,""
"dlnBrent_neg_L3",0.033138,0.030571,1.084,0.2796,""
"dlnIIP",0.065655,0.04216,1.5573,0.1209,""
"D_petrol",0.772695,0.487625,1.5846,0.1145,""
"D_diesel",-0.619881,0.439464,-1.4105,0.1598,""
"D_covid",9.675258,3.042393,3.1801,0.0017,"***"
"M1",0.726953,0.734996,0.9891,0.3237,""
"M2",1.37072,1.042455,1.3149,0.1899,""
"M3",0.172538,0.679859,0.2538,0.7999,""
"M4",1.355132,1.38431,0.9789,0.3287,""
"M5",0.756616,0.850121,0.89,0.3744,""
"M6",2.58979,1.185031,2.1854,0.0299,"**"
"M7",1.89548,0.970854,1.9524,0.0522,"*"
"M8",1.234817,1.126695,1.096,0.2743,""
"M9",2.282953,0.823562,2.772,0.0061,"***"
"M10",1.157349,0.79892,1.4486,0.1489,""
"M11",0.829365,0.877446,0.9452,0.3456,""
